"day","total_steps"
2017-08-08,4917
2017-08-09,10281
2017-08-10,4821
2017-08-11,5283
2017-08-12,10610
2017-08-13,12272
2017-08-14,2766
2017-08-15,10293
2017-08-16,5477
2017-08-17,6170
2017-08-18,9829
2017-08-19,14967
2017-08-20,5759
2017-08-21,13164
2017-08-22,15560
2017-08-23,8379
2017-08-24,5552
2017-08-25,6557
2017-08-26,10182
2017-08-27,13537
2017-08-28,7532
2017-08-29,8301
2017-08-30,11790
2017-08-31,6702
2017-09-01,9584
2017-09-02,4195
2017-09-03,6758
2017-09-04,6735
2017-09-05,3517
2017-09-06,4255
2017-09-07,6039
2017-09-08,8468
2017-09-09,4383
2017-09-10,17976
2017-09-11,6864
2017-09-12,7549
2017-09-13,10861
2017-09-14,6252
2017-09-15,7049
2017-09-16,14273
2017-09-17,14778
2017-09-18,7973
2017-09-19,5168
2017-09-20,10397
2017-09-21,6877
2017-09-22,7548
2017-09-23,5655
2017-09-24,17323
2017-09-25,6446
2017-09-26,10741
2017-09-27,4397
2017-09-28,8372
2017-09-29,10278
2017-09-30,13612
2017-10-01,24114
2017-10-02,4209
2017-10-03,7392
2017-10-04,5700
2017-10-05,7048
2017-10-06,15636
2017-10-07,11403
2017-10-08,11628
2017-10-09,1578
2017-10-10,5202
2017-10-11,6136
2017-10-12,4500
2017-10-13,6868
2017-10-14,8880
2017-10-15,9053
2017-10-16,7168
2017-10-17,9962
2017-10-18,5542
2017-10-19,10249
2017-10-20,10318
2017-10-21,5492
2017-10-22,15615
2017-10-23,8352
2017-10-24,9872
2017-10-25,5476
2017-10-26,8830
2017-10-27,9059
2017-10-28,15738
2017-10-29,8044
2017-10-30,6403
2017-10-31,13487
2017-11-01,3928
2017-11-02,6687
2017-11-03,3964
2017-11-04,2276
2017-11-05,9340
2017-11-06,8450
2017-11-07,2909
2017-11-08,7217
2017-11-09,8361
2017-11-10,9542
2017-11-11,2884
2017-11-12,9773
2017-11-13,8876
2017-11-14,5882
2017-11-15,6256
2017-11-16,5796
2017-11-17,3782
2017-11-18,8756
2017-11-19,11032
2017-11-20,15889
2017-11-21,14151
2017-11-22,5525
2017-11-23,16600
2017-11-24,13389
2017-11-25,21799
2017-11-26,3243
2017-11-27,5111
2017-11-28,8646
2017-11-29,8211
2017-11-30,6493
2017-12-01,6505
2017-12-02,13813
2017-12-03,11704
2017-12-04,11466
2017-12-05,7462
2017-12-06,4335
2017-12-07,4574
2017-12-08,7684
2017-12-09,1510
2017-12-10,10452
2017-12-11,4040
2017-12-12,6874
2017-12-13,6637
2017-12-14,4038
2017-12-15,6721
2017-12-16,1929
2017-12-17,7325
2017-12-18,7024
2017-12-19,5698
2017-12-20,6363
2017-12-21,7092
2017-12-22,6231
2017-12-23,5006
2017-12-24,5002
2017-12-25,14140
2017-12-26,2664
2017-12-27,9463
2017-12-28,4200
2017-12-29,3031
2017-12-30,5714
2017-12-31,6717
2018-01-01,5524
2018-01-02,11258
2018-01-03,4134
2018-01-04,8632
2018-01-05,3253
2018-01-06,4547
2018-01-07,7156
2018-01-08,5112
2018-01-09,6165
2018-01-10,11781
2018-01-11,8412
2018-01-12,8104
2018-01-13,2244
2018-01-14,3405
2018-01-15,531
2018-01-16,11378
2018-01-17,7171
2018-01-18,4210
2018-01-19,8621
2018-01-20,10766
2018-01-21,3461
2018-01-22,2334
2018-01-23,9529
2018-01-24,3322
2018-01-25,5545
2018-01-26,7161
2018-01-27,17636
2018-01-28,4040
2018-01-29,9324
2018-01-30,3083
2018-01-31,9390
2018-02-01,5015
2018-02-02,9472
2018-02-03,6322
2018-02-04,2801
2018-02-05,3460
2018-02-06,10219
2018-02-07,4572
2018-02-08,13454
2018-02-09,6032
2018-02-10,14146
2018-02-11,7601
2018-02-12,9815
2018-02-13,7503
2018-02-14,7096
2018-02-15,7581
2018-02-16,7213
2018-02-17,10148
2018-02-18,9272
2018-02-19,4123
2018-02-20,2851
2018-02-21,4957
2018-02-22,6938
2018-02-23,4999
2018-02-24,6894
2018-02-25,5295
2018-02-26,14540
2018-02-27,6192
2018-02-28,10912
2018-03-01,6648
2018-03-02,4045
2018-03-03,4232
2018-03-04,9989
2018-03-05,5024
2018-03-06,4341
2018-03-07,9471
2018-03-08,3897
2018-03-09,3079
2018-03-10,2477
2018-03-11,10800
2018-03-12,5093
2018-03-13,7826
2018-03-14,6863
2018-03-15,12050
2018-03-16,9047
2018-03-17,1763
2018-03-18,16994
2018-03-19,6910
2018-03-20,6357
2018-03-21,5467
2018-03-22,7087
2018-03-23,9277
2018-03-24,15800
2018-03-25,10796
2018-03-26,7621
2018-03-27,7085
2018-03-28,5632
2018-03-29,7695
2018-03-30,9559
2018-03-31,15405
2018-04-01,8641
2018-04-02,4580
2018-04-03,7569
2018-04-04,8623
2018-04-05,5149
2018-04-06,19698
2018-04-07,4762
2018-04-08,14441
2018-04-09,4795
2018-04-10,10270
2018-04-11,8155
2018-04-12,9577
2018-04-13,17651
2018-04-14,12152
2018-04-15,17053
2018-04-16,6957
2018-04-17,10935
2018-04-18,6083
2018-04-19,7346
2018-04-20,7516
2018-04-21,10068
2018-04-22,10316
2018-04-23,7975
2018-04-24,7210
2018-04-25,10733
2018-04-26,11611
2018-04-27,9849
2018-04-28,18920
2018-04-29,20878
2018-04-30,8100
2018-05-01,9330
2018-05-02,7831
2018-05-03,12205
2018-05-04,9330
2018-05-05,36885
2018-05-06,25778
2018-05-07,4861
2018-05-08,6888
2018-05-09,8488
2018-05-10,7971
2018-05-11,10916
2018-05-12,5444
2018-05-13,17435
2018-05-14,9727
2018-05-15,6938
2018-05-16,9132
2018-05-17,9462
2018-05-18,12026
2018-05-19,15955
2018-05-20,17165
2018-05-21,8324
